pair_type,video_a,frame_a,obj_a,video_b,frame_b,obj_b,pbd_box_end,pbd_coord_mean,pbd_full_mean,region,fused
negative_same_video,625892cf0b,00000,2,625892cf0b,00000,1,0.664909839630127,,,1.0000001192092896,0.7823988795280457
negative_cross_video,3efc6e9892,00000,2,ac46bd8087,00000,2,0.932409405708313,,,0.6334227919578552,0.8661355972290039
negative_cross_video,3a079fb484,00005,1,1180cbf814,00005,1,0.9379298090934753,,,0.6986912488937378,0.8526789546012878
negative_same_video,a4757bd7af,00005,2,a4757bd7af,00000,1,0.8636171221733093,,,0.8865522146224976,0.8517472147941589
negative_same_video,3efc6e9892,00005,1,3efc6e9892,00000,3,0.9454988241195679,,,0.8876891136169434,0.858751654624939
positive,ac46bd8087,00005,1,ac46bd8087,00000,1,0.9909425973892212,,,0.9374513030052185,0.9422801733016968
negative_same_video,a4757bd7af,00000,1,a4757bd7af,00005,3,0.9041521549224854,,,0.8865522146224976,0.8504992723464966
negative_same_video,a4757bd7af,00005,2,a4757bd7af,00000,3,0.9526703357696533,,,0.8865522146224976,0.9110937714576721
negative_same_video,1180cbf814,00005,2,1180cbf814,00000,1,0.6976783871650696,,,0.9292600750923157,0.6816592812538147
negative_same_video,625892cf0b,00005,1,625892cf0b,00000,2,0.7685158848762512,,,0.973709762096405,0.7685175538063049
positive,7cc9258dee,00025,1,7cc9258dee,00020,1,0.9977301359176636,,,0.8565495610237122,0.9461950063705444
negative_same_video,625892cf0b,00005,3,625892cf0b,00000,2,0.9009076356887817,,,0.973709762096405,0.8453050255775452
negative_cross_video,3a079fb484,00005,1,ac46bd8087,00000,2,0.8977564573287964,,,0.6970182061195374,0.8827257752418518
negative_cross_video,3a079fb484,00005,1,1180cbf814,00000,1,0.9711653590202332,,,0.6761109232902527,0.8219475746154785
positive,a4757bd7af,00000,1,a4757bd7af,00005,1,0.997732400894165,,,0.8865522146224976,0.9544040560722351
negative_cross_video,3efc6e9892,00000,2,a4757bd7af,00005,1,0.92679762840271,,,0.7161790728569031,0.8798527121543884
negative_cross_video,3a079fb484,00005,1,a4757bd7af,00005,1,0.9705730676651001,,,0.6630256175994873,0.8382652997970581
negative_cross_video,3efc6e9892,00000,2,3a079fb484,00005,1,0.9364185929298401,,,0.6436414122581482,0.8456903100013733
negative_cross_video,3efc6e9892,00000,2,ac46bd8087,00005,2,0.6810664534568787,,,0.583992600440979,0.5338807106018066
negative_cross_video,3efc6e9892,00000,2,7cc9258dee,00025,1,0.9632108211517334,,,0.6794822216033936,0.7952477931976318
negative_same_video,1180cbf814,00000,1,1180cbf814,00005,2,0.6976783871650696,,,0.9292600750923157,0.6816592812538147
negative_same_video,3efc6e9892,00000,2,3efc6e9892,00005,3,0.9699751138687134,,,0.8876891136169434,0.9343810677528381
negative_same_video,a4757bd7af,00000,3,a4757bd7af,00000,2,0.9467592835426331,,,1.0,0.9366414546966553
negative_same_video,a4757bd7af,00000,2,a4757bd7af,00005,1,0.8482401371002197,,,0.8865522146224976,0.836675226688385
positive,7cc9258dee,00020,1,7cc9258dee,00025,1,0.9977301359176636,,,0.8565495610237122,0.9461950063705444
negative_same_video,625892cf0b,00000,1,625892cf0b,00005,3,0.658189594745636,,,0.973709762096405,0.7542975544929504
negative_same_video,1180cbf814,00000,2,1180cbf814,00005,1,0.9361893534660339,,,0.9292600750923157,0.8594569563865662
negative_same_video,a4757bd7af,00000,2,a4757bd7af,00000,1,0.8390060067176819,,,1.0,0.8619455099105835
positive,3efc6e9892,00005,2,3efc6e9892,00000,2,0.9978733658790588,,,0.8876891136169434,0.986865222454071
negative_cross_video,3a079fb484,00005,1,625892cf0b,00000,2,0.7046077847480774,,,0.6455638408660889,0.7123069167137146
positive,a4757bd7af,00005,1,a4757bd7af,00000,1,0.997732400894165,,,0.8865522146224976,0.9544040560722351
negative_cross_video,3a079fb484,00005,1,1180cbf814,00005,2,0.7108044624328613,,,0.6986912488937378,0.7985944747924805
negative_cross_video,3a079fb484,00005,1,3efc6e9892,00000,1,0.9423883557319641,,,0.6436414122581482,0.8125147819519043
positive,ac46bd8087,00000,1,ac46bd8087,00005,1,0.9909425973892212,,,0.9374513030052185,0.9422801733016968
positive,a4757bd7af,00000,2,a4757bd7af,00005,2,0.989102840423584,,,0.8865522146224976,0.9625959992408752
positive,1180cbf814,00000,2,1180cbf814,00005,2,0.8142828941345215,,,0.9292600750923157,0.8193026185035706
negative_cross_video,3a079fb484,00005,1,a4757bd7af,00005,2,0.8850884437561035,,,0.6630256175994873,0.8255966305732727
negative_same_video,3efc6e9892,00000,1,3efc6e9892,00005,2,0.9636092782020569,,,0.8876891136169434,0.8840016722679138
negative_same_video,a4757bd7af,00000,3,a4757bd7af,00005,1,0.9074675440788269,,,0.8865522146224976,0.8066842555999756
negative_cross_video,3efc6e9892,00000,1,3a079fb484,00005,1,0.9423883557319641,,,0.6436414122581482,0.8125147819519043
negative_cross_video,3efc6e9892,00000,2,a4757bd7af,00005,3,0.9624267220497131,,,0.7161790728569031,0.8799088001251221
negative_cross_video,3efc6e9892,00000,2,a4757bd7af,00000,1,0.9203682541847229,,,0.7113029956817627,0.866589367389679
negative_same_video,625892cf0b,00000,2,625892cf0b,00005,1,0.7685158848762512,,,0.973709762096405,0.7685175538063049
negative_cross_video,3a079fb484,00005,1,ac46bd8087,00005,2,0.6250881552696228,,,0.6699429154396057,0.6126981973648071
negative_cross_video,3efc6e9892,00000,2,ac46bd8087,00000,1,0.9699768424034119,,,0.6334227919578552,0.8646944165229797
negative_same_video,1180cbf814,00005,1,1180cbf814,00000,2,0.9361893534660339,,,0.9292600750923157,0.8594569563865662
negative_cross_video,3efc6e9892,00000,1,a4757bd7af,00005,1,0.9465945959091187,,,0.7161790728569031,0.8792187571525574
negative_cross_video,3a079fb484,00005,1,a4757bd7af,00005,3,0.9276643991470337,,,0.6630256175994873,0.8751026391983032
negative_cross_video,3a079fb484,00005,1,3efc6e9892,00005,1,0.942780613899231,,,0.692315399646759,0.8389649391174316
negative_cross_video,3a079fb484,00005,1,ac46bd8087,00000,1,0.9247782230377197,,,0.6970182061195374,0.8871159553527832
negative_cross_video,3a079fb484,00005,1,1180cbf814,00000,2,0.9356881976127625,,,0.6761109232902527,0.8906278610229492
negative_same_video,625892cf0b,00000,1,625892cf0b,00000,2,0.664909839630127,,,1.0000001192092896,0.7823988795280457
negative_same_video,625892cf0b,00005,3,625892cf0b,00005,1,0.7568333745002747,,,1.0000001192092896,0.7102023363113403
negative_same_video,a4757bd7af,00000,1,a4757bd7af,00005,2,0.8636171221733093,,,0.8865522146224976,0.8517472147941589
negative_same_video,a4757bd7af,00005,1,a4757bd7af,00000,3,0.9074675440788269,,,0.8865522146224976,0.8066842555999756
negative_same_video,3efc6e9892,00000,3,3efc6e9892,00000,2,0.9707798957824707,,,1.0000001192092896,0.9297873973846436
positive,1180cbf814,00005,1,1180cbf814,00000,1,0.9620295166969299,,,0.9292600750923157,0.8616573810577393
