model,step,epoch,train_loss,calib_score,calib_acc
b3,200,1,0.2478,0.0514,0.0514
b3,400,3,0.0676,0.0848,0.0848
b3,600,5,0.0271,0.161,0.161
b3,800,7,0.0137,0.2474,0.2474
b3,1000,9,0.0063,0.5382,0.5382
b3,1200,11,0.0027,0.4481,0.4481
b3,1400,13,0.0007,0.5004,0.5004
b3,1600,14,0.0074,0.4645,0.4645
b3,1800,16,0.0049,0.4124,0.4124
b3,2000,18,0.0034,0.4827,0.4827
b3,2200,20,0.0024,0.5469,0.5469
b3,2400,22,0.0016,0.4968,0.4968
b3,2600,24,0.0011,0.5003,0.5003
b4,200,0,1.2248,0.5295,0.5295
b4,400,1,0.4257,0.5725,0.5725
b4,600,2,0.1917,0.6093,0.6093
