dimension,value,samples,e2e_accuracy,conditional_accuracy,no_match_f1
dataset,youtube_vos,1800,0.5243,0.7274,0.4545
protocol,category_guided,900,0.6353,0.7228,0.4545
gap,5-16,730,0.4137,0.5993,0.8333
target_count,1,1263,0.5724,0.796,0.6197
candidate_density,0-5,2117,0.4974,0.7673,0.7735
candidate_presence,present,1863,0.5295,0.6268,0.5362
protocol,generic,1656,0.3211,0.5416,0.7717
gap,17-64,1224,0.4125,0.6124,0.7174
gap,>64,432,0.5706,0.7907,0.4375
candidate_presence,missing,693,0.1371,0.0,0.7982
target_count,2-4,1221,0.3892,0.589,0.6429
candidate_density,6-15,368,0.1946,0.2632,0.4167
candidate_density,>15,71,0.125,0.0565,0.8824
dataset,mosev2,756,0.2321,0.2928,0.819
gap,1-4,170,0.2616,0.4052,0.8485
target_count,5-8,72,0.2606,0.2287,0.9556
