task,dataset,variant,hota,detA,assA,mota,idf1,idsW,extra
ordinary,dancetrack_val,L6,0.5546,,0.3248,,0.4958,5290,
ordinary,dancetrack_val,L7,0.5369,,0.3045,,0.46,6164,
ordinary,dancetrack_val,L8-B1,0.5676,,0.3405,,0.4922,6503,
ordinary,dancetrack_val,L8-B2,0.5721,,0.3457,,0.5012,5773,
ordinary,bdd100k_train,L6,0.4716,,0.4866,,0.411,7546,
ordinary,bdd100k_train,L7,0.4317,,0.4077,,,11430,
ordinary,bdd100k_train,L8-B1,0.4913,,0.5283,,0.4368,6234,
ordinary,bdd100k_train,L8-B2,0.479,,0.5019,,0.4203,7074,
ordinary,mot17_train,L6,0.7084,,0.6991,,,,
ordinary,mot17_train,L7,0.6471,,0.584,,,369,
ordinary,mot17_train,L8-B1,0.7074,,0.6982,,0.6202,446,
ordinary,mot17_train,L8-B2,0.7071,,0.697,,0.6237,430,
ordinary,mot20_train,L7,0.5973,,0.4196,,,1799,
ordinary,mot20_train,L8-B1,0.6305,,0.4676,,0.5572,1630,
ordinary,mot20_train,L8-B2,0.6345,,0.4734,,0.5627,1619,
rmot,refer_dance,L8-B2,35.197,43.416,28.634,25.473,35.44,4491,40queries
rmot,refer_dance,L8-B1,37.881,46.51,31.017,31.281,37.289,4813,40queries
ovmot,tao_val,L7,33.94,,29.51,7.51,,,CLIPcls
ovmot,tao_val,L8-B2,34.333,65.05,30.444,7.5051,,,PBDzero
ovmot,tao_val,L8-B1,34.072,65.056,29.637,7.5228,,,PBDzero
ablation,ordinary_macro,L8-B2-semantic-only,0.4014,,,,,,
ablation,rmot,L8-B2-identity-only,36.745,44.468,30.534,9.2721,35.719,5568,keepall
